"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"moncrief","Moncrief","PERSON","was","be","professor emeritus","http://www.wikidata.org/entity/Q30878990","Award","Sir Alan Aird Moncrieff , ( 9 October 1901 – 24 July 1971 ) was a British paediatrician and professor emeritus at University of London ."
"summer","Summer","ORG","was hired","be hire","director","http://www.wikidata.org/entity/Q2493761","Profession","On October 19 , 2006 , Summers was hired as a part-time managing director of the New York-based hedge fund D. E. Shaw & amp ; Co. for which he received $ 5 million in salary and other compensation over a 16-month period ."
"president","http://www.wikidata.org/entity/Q61061","Award","tapped Zogby to help","tap Zogby to help","peace","http://www.wikidata.org/entity/Q8016704","Language","In 1993 Vice President Al Gore tapped Zogby to help lead Builders for Peace after the signing of the Israeli-Palestinian peace accord in Washington ."
"nambiar","Nambiar","ORG","was known","be know","technology","Technology","ORG","more popularly known as K.P.P . Nambiar ( 15 April 1929 – 30 June 2015 ) , was an Indian industrialist and technocrat , known for his work in the field of industrial development and technology ."
"james murray mason","James Murray Mason","PERSON","respectively","respectively","england","England","GPE","When Wilkes learned that James Murray Mason and John Slidell , two Confederate commissioners ( to Britain and France , respectively ) , were bound for England on a British packet boat , , he ordered the steam frigate `` San Jacinto '' to stop them ."
"bukhara","Bukhara","GPE","rivaled","rival","baghdad","Baghdad","GPE","Under the Samanids , Bukhara rivaled Baghdad as a cultural capital of the Islamic world ."
"americans","Americans","NORP","gained","gain","filipinos","Filipinos","NORP","The Americans gained the time and the opportunity to start hostilities with the Filipinos at the place and time of their choice ."
"counter","Counter","ORG","served","serve","sweden","http://www.wikidata.org/entity/Q34","Country","In addition to his work at Harvard , Counter was also adjunct professor of neuroscience at the Karolinska Institute in Stockholm , and served as Consul General of Sweden in Boston and New England ."
"barberini","Barberini","PERSON","was a friend of","be a friend of","galileo","http://www.wikidata.org/entity/Q307","Person","Barberini was a friend and admirer of Galileo , and had opposed the admonition of Galileo in 1616 ."
"aristotelian","Aristotelian","LANGUAGE","were developed","be develope","islam","http://www.wikidata.org/entity/Q432","Belief","Greco-Roman ( Mid- and Neo-Platonic , and Aristotelian ) texts translated by the Kindi school were commented , redacted and developed substantially by Islamic intellectuals , who also built upon Persian and Indian mathematical systems , astronomy , algebra , trigonometry and medicine ."
"lehrer","Lehrer","PERSON","was","be","a rhodes scholar","a Rhodes Scholar","WORK_OF_ART","Lehrer studied neuroscience at Columbia University and was a Rhodes Scholar ."
"ethaline hartge","Ethaline Hartge","PERSON","was","be","editor","http://www.wikidata.org/entity/Q23016178","Profession","Ethaline Hartge Cortelyou ( 26 November 1909 – 19 July 1997 ) was an American chemist and scientific technical writer and editor who worked on the Manhattan Project at the University of Chicago 's Metallurgical Laboratory ( `` Met Lab '' ) and was one of 70 scientists to sign the 1945 Szilárd petition warning the United States government against dropping an atomic bomb on Japan ."
"loyola","Loyola","PERSON","are","be","jesuits","Jesuits","NORP","Xavier , Faber , and Loyola all became roommates at the University of Paris and are all recognized by the Jesuits as founders of the Society of Jesus ."
"richard","Richard","PERSON","so liked","so like","catherine","Catherine","PERSON","Richardson so liked his part that he decided to play it in the West End , with Ashcroft as Sloper 's daughter Catherine ."
"kurginyan","Kurginyan","PERSON","is","be","russia","http://www.wikidata.org/entity/Q159","Country","Sergei Yervandovich Kurginyan ( ) is a Russian scientist , better known as a theatre producer and a politician ."
"the wright brothers","the Wright Brothers","ORG","sent accompanied","send accompany","bagatelle","Bagatelle","ORG","The Wright Brothers , after learning of the 12 November experiment , sent a letter to Captain Ferdinand Ferber asking for `` exact news of the Bagatelle experiments , '' including `` a faithful report of the trials and a description of the flying machine , accompanied by a schematic . ''"
"goodwin","Goodwin","PERSON","is","be","producer","http://www.wikidata.org/entity/Q13235160","Profession","Candice Michelle Goodwin is a South African-born chemical engineer and microbiologist turned writer , producer , podcaster and paranormal investigator ."
"doctor","Doctor","ORG","salutes","salute","the war","the War","EVENT","In the 2013 live-action mini-episode `` The Night of the Doctor '' , the Eighth Doctor salutes companions Charley , C'rizz , Lucie , Tamsin and Molly before he regenerates into the War Doctor ."
"jenner","http://www.wikidata.org/entity/Q40852","Person","obtained","obtain","the university of st andrews","the University of St Andrews","ORG","In 1792 , `` with twenty years ' experience of general practice and surgery , Jenner obtained the degree of MD from the University of St Andrews '' ."
"gordon","Gordon","ORG","teaching","teach","new york","New York","GPE","Gordon served in the Army Air Corps ( Private to Captain ) from 1941 to 1945 , studying and teaching meteorology at New York University and experimenting with radar coverage under conditions of mirage and looming ."
"posada","Posada","ORG","has been","have be","the association interscience","the Association Interscience","ORG","Besides his current full membership in the Colombian Academy of Sciences , Posada has been the president of the Colombian Society of Physics ( 1984-1987 ) , president of the Association for International Physics Center ( ACIF ) ( 1982-1987 ) , and president of the Association Interscience ( 1993-1994 ) ."
"zor-el","Zor-El","ORG","was","be","krypton","Krypton","GPE","In pre-Crisis continuity , Zor-El was a climatographer on Krypton , and one of the only scientists to believe his brother Jor-El 's predictions about the impending destruction of Krypton ."
"heimlich","Heimlich","PERSON","is a freelance Light","be a freelance Light","writer","http://www.wikidata.org/entity/Q36180","Profession","Janet Heimlich , a freelance writer and author of `` Breaking Their Will : Shedding Light on Religious Child Maltreatment '' ; and Elisabeth Heimlich ."
"producers","http://www.wikidata.org/entity/Q19826506","Profession","were","be","doctor","http://www.wikidata.org/entity/Q4618975","Profession","Show producers were cautious about casting Smith because they felt that a 26-year-old could not play the Doctor adequately ; BBC Wales Head of Drama Piers Wenger shared the sentiment , but noted that Smith was capable enough to play the role ."
"gwen stacy","http://www.wikidata.org/entity/Q98454800","Person","is accidentally killed","be accidentally kill","spider-man","http://www.wikidata.org/entity/Q79037","Person","Gwen Stacy 's father , New York City Police detective captain George Stacy is accidentally killed during a battle between Spider-Man and Doctor Octopus ( issue # 90 , November 1970 ) ."
"captain","http://www.wikidata.org/entity/Q1146304","Profession","freed","free","psimon","Psimon","PERSON","Psimon later joined up with frequent Captain Marvel archenemy Dr. Sivana , who , in a storyline in `` Outsiders '' # 12 -15 ( July–October 2004 ) , freed Psimon 's former teammates Mammoth , Gizmo , and Jinx from prison , and was able to successfully restore Shimmer 's shattered form , returning her to life ."
"professor","http://www.wikidata.org/entity/Q37226","Profession","is","be","dutch","http://www.wikidata.org/entity/Q7411","Language","Professor Abraham Van Helsing , a fictional character from the 1897 gothic horror novel `` Dracula '' , is an aged polymath Dutch doctor with a wide range of interests and accomplishments , partly attested by the string of letters that follows his name : `` MD , D.Ph. ,"
"viktor petrovich makeyev","http://www.wikidata.org/entity/Q277559","Person","was","be","russian","http://www.wikidata.org/entity/Q7737","Language","Viktor Petrovich Makeyev ( also Makeev ; ; 25 October 1924 – 25 October 1985 ) was the founder of the Soviet-Russian school of sea missiles production ."
"batman","Batman","PERSON","designed","design","batman","Batman","PERSON","In `` Batman R.I.P . `` , a past hallucination induced by Professor Milo 's gas is revealed to have inspired Bruce Wayne to create the 'back-up ' personality of the Batman of Zur-En-Arrh , a more ruthless Batman personality designed to take over in the event of Bruce Wayne being psychologically attacked in such a manner as to render Batman out of action ."
"hyperloop","Hyperloop","PRODUCT","to remain","to remain","the kantrowitz limit","the Kantrowitz Limit","LOC","A major innovation in the Hyperloop proposal provides a novel third approach to remain below the Kantrowitz limit while still moving at high-subsonic velocities : adding a front-end inlet compressor to actively transfer high-pressure air from the front to the rear of the high-speed transport capsule , and thus bypassing much of the air that would have resulted in the dynamic shock of the choked flow ."
"arabic","Arabic","LANGUAGE","demonstrates","demonstrate","avicenna","Avicenna","NORP","His `` Logic '' , `` Metaphysics '' , `` Physics '' , and `` De Caelo '' , are treatises giving a synoptic view of Aristotelian doctrine , though `` Metaphysics '' demonstrates a significant departure from the brand of Neoplatonism known as Aristotelianism in Avicenna 's world ; Arabic philosophers have hinted at the idea that Avicenna was attempting to `` re-Aristotelianise '' Muslim philosophy in its entirety , unlike his predecessors , who accepted the conflation of Platonic , Aristotelian , Neo- and Middle-Platonic works transmitted into the Muslim world ."
"jewish","Jewish","NORP","is","be","israel","Israel","GPE","In 1989 , in `` Justice , and Only Justice '' , Ateek wrote , `` The preservation of Israel as a Jewish state is important not only to Israeli Jews but to Jews all over the world ."
"commodore johnstone","Commodore Johnstone","ORG","agreed","agree","island","http://www.wikidata.org/entity/Q189","Country","Commodore Johnstone had previously wished to colonise the island and claim it for Britain , so d'Auvergne agreed to stay on the tiny island with 30 sailors , 20 captured French sailors , one woman , some animals and supplies ."
"richardson","Richardson","PERSON","asked","ask","doctor","http://www.wikidata.org/entity/Q34358","Person","A legend , possibly apocryphal , grew that during the short run Richardson walked to the front of the stage one night and asked , `` Is there a doctor in the house ? ''"
