document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
14907770,clynes,Clynes,ORG,measure,measure,form of specific emotions,form of specific emotions,Unknown,"Encouraged by these positive findings relating outputs to specific inner states of the brain , first presented at a Smithsonian Conference in 1968 at Santa Inez , Clynes then proceeded to measure the expressive form of specific emotions in a similar way , by having subjects generate them by repeatedly expressing them on the finger rest , thus finding specific signatures for the emotions , which he called sentic forms ."
13379670,sam wyly,Sam Wyly,PERSON,explore booksellers in,explore bookseller in,january 2007,january 2007,Unknown,"Cheryl and Sam Wyly purchased Explore Booksellers and Bistro in January 2007 , ending concern by Aspen , Colorado locals that the only book store would be converted into condos ."
21920421,ved prakash,Ved Prakash,PERSON,was,be,born in punjabi family of lamba pind village in punjab province on 1 april 1937,born in punjabi family of lamba pind village in punjab province on 1 april 1937,Unknown,"Ved Prakash was born in a Punjabi family of Lamba Pind village , Jullundur , in the Punjab Province of British India , on 1 April 1937 ."
62226822,martinis,Martinis,PERSON,being,be,reassigned,reassigned,Unknown,"In April 2020 , Wired magazine announced that Martinis reportedly resigned from Google after being reassigned to an advisory role ."
62939006,alimonti,Alimonti,PERSON,managed,manage,canadian testing in winnipeg,canadian testing in winnipeg,Unknown,"Alimonti managed the Canadian testing of a human - grade Ebola vaccine at the National Microbiology Laboratory in Winnipeg , Manitoba ."
62446964,alleyne,Alleyne,PERSON,was,be,person at university of illinois at urbana promoted,person at university of illinois at urbana promoted,Unknown,In 2004 Alleyne was the youngest person in the Department of Mechanical Science and Engineering at the University of Illinois at Urbana – Champaign to be promoted to Professor .
44375560,station,Station,ORG,received support from,receive support from,ministry,ministry,Unknown,"The Station had been established in 1946 by German Jewish biologist and zoologist Walter Steinitz , and had only recently received support from the newly formed Israeli Ministry of Agriculture to begin studying the Mediterranean coast ."
396721,howard georgi,Howard Georgi,PERSON,proposed,propose,first grand unified theory,first grand unified theory,Unknown,"In 1973 , Glashow and Howard Georgi proposed the first grand unified theory ."
57888684,lilly,Lilly,ORG,reprised,reprise,her role,her role,Unknown,"Lilly also reprised her role in the inspired media attraction of the MCU , in Hong Kong Disneyland ."
31267785,presbytery,Presbytery,GPE,acknowledge,acknowledge,historical part of testimony,historical part of testimony,Unknown,"It was a request that Presbytery formally acknowledge the "" Historical part of the Testimony . """
1192003,gazoo,Gazoo,PERSON,refers to,refer to,fred,fred,Unknown,"Gazoo refers to Fred and Barney as "" dumb dumbs "" and constantly causes problems for them ."
38441269,ed merrill,Ed Merrill,ORG,is,be,truly renaissance man in best sense of phrase with broad interests,truly renaissance man in best sense of phrase with broad interests,Unknown,"An article in 1984 gives a vivid depiction of the scientist and educator , "" Ed Merrill is truly a Renaissance man in the best sense of the phrase , with broad interests and the ability to inject ideas from one discipline into another , often with spectacular results ."
57426599,swamp thing,http://www.wikidata.org/entity/Q54422296,Person,meet,meet,him,him,Unknown,"Rather than provide any new information , Constantine tells the Swamp Thing to meet him in Maine in two weeks ' time ."
57680367,murphy,Murphy,PERSON,was,be,director of center from 2002 to 2018,director of center from 2002 to 2018,Unknown,"Murphy was the director of the Center for Robot - Assisted Search and Rescue ( CRASASR ) from 2002 to 2018 , and now serves as the vice-president ."
50057399,judge,http://www.wikidata.org/entity/Q52008310,Profession,is in,be in,grove dubrovnik,grove dubrovnik,Unknown,"- a judge of peace and justice in the grove / Dubrovnik , who established a momentarily disturbed peace ."
6869432,denton,Denton,ORG,recognised early with,recognise early with,hco3 ion,hco3 ion,Unknown,"With regard to the HCO3 ion , Denton recognised early that data showing that alligators , with their swallowing of whole large prey and having plasma HCO3 rise from 40 to 100 mmol / litre , and Cl decrease from 100 to 40 mmol / litre with blood pH near 7.8 reflected a basic mechanism in the pathway of evolution of the constrictors and big reptiles ."
48694597,akhavan,Akhavan,GPE,has led,have lead,research,research,Unknown,Akhavan has led research for :
60572966,baker,http://www.wikidata.org/entity/Q4849228,Language,was later promoted in,be later promote in,appointments at school departments,appointments at school departments,Unknown,"Baker was later promoted to professor of health policy and management in 1983 , while holding joint appointments at the School of Medicine , in the pediatric and emergency medicine departments ."
34476011,cotton,Cotton,ORG,also received,also receive,master,master,Unknown,Cotton received a bachelor 's degree in electrical engineering at Auburn University in 1980 and also received a Master of Science in electrical engineering from the Georgia Institute of Technology in 1983 .
56720227,a.i. kitov,A.I. Kitov,ORG,generalised,generalise,experience of his work,experience of his work,Unknown,"In his next book "" Programming of economical and management tasks "" A.I. Kitov generalised experience of his work as the chief designer of the Automated management system ( AMS ) for the Ministry of Radio - Industry ."
2058370,sivana,Sivana,NORP,was also tycoon in,be also tycoon in,scientist,scientist,Unknown,"The modern Sivana , in addition to being a mad scientist , was also a powerful and influential tycoon ( "" a la "" Lex Luthor of the "" Superman "" comics ) ."
21467370,moshe zakai,http://www.wikidata.org/entity/Q6916189,Person,was born in,be bear in,sokółka,sokółka,Unknown,"Moshe Zakai was born in Sokółka , Poland , to his parents Rachel and Eliezer Zakheim with whom he immigrated to Israel in 1936 ."
62273588,havlir,Havlir,ORG,reduce,reduce,number of drugs,number of drugs,Unknown,"To try to simplify the treatment , Havlir unsuccessfully tried to reduce the number of drugs used in the cocktail after the virus started to decrease ."
2065359,sapolsky,Sapolsky,ORG,describes,describe,himself,himself,Unknown,Sapolsky describes himself as an atheist .
29688374,michelangelo,Michelangelo,PERSON,contribute,contribute,his fair share,his fair share,Unknown,"Michelangelo was unable to contribute his fair share of their father 's promised dowries to their brothers - in - law , who would later attempt to seek legal remedies for payments due ."
65920573,arthur kenji cho,Arthur Kenji Cho,PERSON,was born on,be bear on,november 7 1928,november 7 1928,Unknown,"Arthur Kenji Cho was born in Oakland , California on November 7 , 1928 to parents Iwao Cho and Mary Yoshiko ."
14448923,beutler,Beutler,ORG,apply approach to,apply approach to,analysis of immunity in mammals,analysis of immunity in mammals,Unknown,Beutler thereafter continued to apply a forward genetic approach to the analysis of immunity in mammals .
2361661,massey,Massey,PERSON,assumed,assume,control of annual budget of $ 250 million,control of annual budget of $ 250 million,Unknown,"At Argonne , Massey assumed control of an annual budget of more than $ 250 million and a staff of almost four thousand ."
38441269,ed merrill,Ed Merrill,ORG,is,be,truly renaissance man in sense with broad interests with results,truly renaissance man in sense with broad interests with results,Unknown,"An article in 1984 gives a vivid depiction of the scientist and educator , "" Ed Merrill is truly a Renaissance man in the best sense of the phrase , with broad interests and the ability to inject ideas from one discipline into another , often with spectacular results ."
22817016,lehrer,Lehrer,PERSON,graduated from,graduate from,north hollywood high school,north hollywood high school,Unknown,Lehrer graduated from North Hollywood High School .
29688374,galileo,Galileo,WORK_OF_ART,dispute in,dispute in,discovery of sunspots,discovery of sunspots,Unknown,"A dispute over claimed priority in the discovery of sunspots , and in their interpretation , led Galileo to a long and bitter feud with the Jesuit Christoph Scheiner ."
61794785,bronk,Bronk,ORG,received faculty award from,receive faculty award from,state 's highest honor,state 's highest honor,Unknown,"In 2018 , Bronk received the Outstanding Faculty Award from the State Council of Higher Education for Virginia , the state 's highest honor for faculty at its public and private colleges and universities ."
37422548,editor,http://www.wikidata.org/entity/Q7042855,Profession,is in,be in,chief,chief,Unknown,"He served as the editor in chief of "" Medisiinari "" , "" Suomen Lääkärilehti "" ( Finnish Medical Journal ) and "" Terveys 2000 "" ."
219140,lavochkin,Lavochkin,GPE,served as,serve as,deputy of supreme soviet,deputy of supreme soviet,Unknown,"From 1950 - 1958 , Lavochkin also served as a deputy of the Supreme Soviet of the USSR ."
5516258,nefarious,http://www.wikidata.org/entity/Q15903252,Person,also appeared as,also appear as,minion in patch for game,minion in patch for game,Unknown,Nefarious also appeared as an unlockable Chibi - sized Minion in a patch for the game .
24309362,william eskridge,http://www.wikidata.org/entity/Q8008657,Person,satisfaction,satisfaction,having finally vindicated,having finally vindicated,Unknown,"As Judge Posner put it in a 2015 "" re-review "" of Eskridge 's 1996 book : "" A prophet before his time , William Eskridge has the satisfaction of having finally been vindicated . """
2603955,filipinos,Filipinos,NORP,were,be,subjected to carefully planned attack with artillery with admiral george dewey 's us fleet firing,subjected to carefully planned attack with artillery with admiral george dewey 's us fleet firing,Unknown,"The Filipinos were subjected to a carefully planned attack with naval artillery , with Admiral George Dewey 's US fleet firing from the Manila Bay ."
453921,gustaf de laval,Gustaf de Laval,PERSON,was member of,be member of,royal swedish academy,royal swedish academy,Unknown,Gustaf de Laval was a member of the Royal Swedish Academy of Sciences from 1886 .
40326831,kronn,Kronn,PERSON,helped with,help with,ten other dissidents,ten other dissidents,Unknown,"In June 1982 , with ten other dissidents , Kronn helped organize the Group to Establish Trust Between the U.S. and the USSR , a non-official movement for trust and peace between the Soviet Union and the West ."
20942188,doctor,Doctor,WORK_OF_ART,was,be,navy velvet coat with lining,navy velvet coat with lining,Unknown,The final look that Capaldi had for his tenure as the Doctor was a navy velvet coat with red lining .
1283397,doctor,http://www.wikidata.org/entity/Q4618975,Award,genuinely cared despite,genuinely care despite,his occasional arrogance,his occasional arrogance,Unknown,"Despite his occasional arrogance , the Third Doctor genuinely cared for his companions in a paternal fashion , and even held a thinly veiled but grudging admiration for his nemesis , the Master , and for UNIT 's leader , Brigadier Lethbridge - Stewart , with whom he eventually became friends ."
163036,olivier,Olivier,PERSON,played,play,hotspur,hotspur,Unknown,Olivier played the warrior Hotspur in the first and the doddering Justice Shallow in the second .
5828933,naghdi,Naghdi,PERSON,undertook preparation for,undertake preparation for,its anniversary,its anniversary,Unknown,"For its fiftieth anniversary in 1977 , Naghdi undertook the preparation of a history of the division ."
31509,mark ruffalo,Mark Ruffalo,PERSON,is in,be in,films,films,Unknown,"In the Marvel Cinematic Universe , the character was portrayed by Edward Norton in the film "" The Incredible Hulk "" ( 2008 ) and by Mark Ruffalo in the films "" The Avengers "" ( 2012 ) , "" Iron Man 3 "" ( 2013 ) in a cameo , ' ( 2015 ) , ' ( 2017 ) , ' ( 2018 ) , "" Captain Marvel "" ( 2019 ) in a cameo , ' ( 2019 ) , "" Shang - Chi and the Legend of the Ten Rings "" ( 2021 ) in a cameo , and in the limited series "" What If ... ? """
17771526,puddephatt,Puddephatt,GPE,has conducted,have conduct,pioneering research on synthesis particularly related to role in materials,pioneering research on synthesis particularly related to role in materials,Unknown,"Puddephatt has conducted pioneering research on synthesis , reactivity and elucidation of mechanisms in the organometallic chemistry of the noble metals , particularly related to the role of organometallic compounds in catalysis and in materials science ."
1932128,doctor destiny,http://www.wikidata.org/entity/Q262841,Person,also has,also have,medical knowledge,medical knowledge,Unknown,Doctor Destiny also has an extensive medical knowledge .
29688374,galileo,Galileo,ORG,observed planet saturn in,observe planet saturn in,1610,1610,Unknown,"In 1610 , Galileo also observed the planet Saturn , and at first mistook its rings for planets , thinking it was a three - bodied system ."
65483375,amatuzio,Amatuzio,PERSON,is,be,american,american,Unknown,Janis Carol Amatuzio ( born 1950 ) is an American forensic pathology specialist .
1748995,david tennant,David Tennant,PERSON,told,tell,magazine,magazine,Unknown,"David Tennant told "" SFX "" magazine in 2006 that Russell T Davies had asked him to drop his natural Scottish accent , because he felt "" we 'd like to not go for another obvious regional accent , because I suppose they 'd done that "" ."
20942188,doctor,http://www.wikidata.org/entity/Q96633923,Award,proceeds,proceed,run away to end in hopes of death,run away to end in hopes of death,Unknown,"In "" Hell Bent "" , the Doctor deposes Time Lord President Rassilon ( Donald Sumpter ) and uses Time Lord technology to save Clara from the moments before her death , and then proceeds to run away with her to the end of time in the hopes of cheating death permanently ."
13793,schmitt,Schmitt,PERSON,also remains,also remain,only scientist to have flown beyond low earth orbit,only scientist to have flown beyond low earth orbit,Unknown,Schmitt also remains the only professional scientist to have flown beyond low Earth orbit and to have visited the Moon .
1130,sajjad h. rizvi,Sajjad H. Rizvi,PERSON,has called,have call,avicenna most influential philosopher of pre-modern era,avicenna most influential philosopher of pre-modern era,Unknown,"Sajjad H. Rizvi has called Avicenna "" arguably the most influential philosopher of the pre-modern era "" ."
24642342,presidents,http://www.wikidata.org/entity/Q4376769,Award,make,make,decisions of great consequence,decisions of great consequence,Unknown,"He wrote an essay titled "" The Decider Can Become a Dictator "" in which he criticized a system which allows presidents to make dictatorial decisions of great consequence without providing ways to discipline those who display bad judgment ."
50893381,tirrell,Tirrell,PERSON,became,become,founding pritzker director at university of chicago,founding pritzker director at university of chicago,Unknown,"In 2011 , Tirrell became the Founding Pritzker Director and Dean of the Institute for Molecular Engineering ( IME ) at the University of Chicago ."
163036,manager,http://www.wikidata.org/entity/Q721834,Profession,take,take,him,him,Unknown,"He paid a local theatrical manager , Frank R. Growcott , ten shillings a week to take him as a member of his company and to teach him the craft of an actor ."
51141695,rodchenkov,Rodchenkov,ORG,was,be,2020 winner of william hill sports book for his book,2020 winner of william hill sports book for his book,Unknown,"Rodchenkov was the 2020 winner of the William Hill Sports Book of the Year for his book "" The Rodchenkov Affair : How I Brought Down Putin 's Secret Doping Empire "" ."
14573,asimov,Asimov,WORK_OF_ART,forewords for,foreword for,books,books,Unknown,"Although Asimov did write several essays about psychology , and forewords for the books "" The Humanist Way "" ( 1988 ) and "" In Pursuit of Truth "" ( 1982 ) , which were classified in the 100s category , none of his own books were classified in that category ."
29688374,members,http://www.wikidata.org/entity/Q59820617,Award,repeated experiment over,repeat experiment over,distance of about mile,distance of about mile,Unknown,"Sometime between Galileo 's death and 1667 , the members of the Florentine "" Accademia del Cimento "" repeated the experiment over a distance of about a mile and obtained a similarly inconclusive result ."
58755477,sophia,Sophia,PERSON,was,be,born,born,Unknown,"Sophia ( also Sonia ) Getzowa ( Gecova ) was born on 23 January 1872 in Belarus , which at the time was part of the Russian Empire ."
7200178,kellaway,Kellaway,PERSON,was,be,promoted,promoted,Unknown,"After working as a regimental medical officer in Flanders during 1917 , Kellaway was awarded a Military Cross for fortitude under fire , and in 1918 was promoted to major ."
453910,williamson,Williamson,ORG,intentionally manipulated,intentionally manipulate,its tobacco blend,its tobacco blend,Unknown,"Wigand became nationally known as a whistleblower on February 4 , 1996 , when he appeared on the CBS news program "" 60 Minutes "" and stated that Brown & Williamson had intentionally manipulated its tobacco blend with chemicals such as ammonia to increase the effect of nicotine in cigarette smoke ."
152687,santos dumont,Santos Dumont,PERSON,adopted,adopt,configuration proposed,configuration proposed,Unknown,"Santos Dumont even adopted the configuration proposed by the Wright brothers and placed the rudder at the front of the 14 - bis , which he described as "" the same as trying to shoot an arrow forward with the tail ... "" ."
53968346,donnelly,Donnelly,PERSON,had,have,cameo appearance in netflix 's documentary adaptation of michael pollan ’s book,cameo appearance in netflix 's documentary adaptation of michael pollan ’s book,Unknown,"Donnelly had a cameo appearance in Netflix 's documentary adaptation of Michael Pollan ’s book "" "" ."
9451277,shoqan,Shoqan,PERSON,help with,help with,colonel cherniaev 's conquest of central asia,colonel cherniaev 's conquest of central asia,Unknown,"In 1864 , Shoqan was assigned to help with Colonel Cherniaev 's continued conquest of Central Asia ."
40795117,balsamo,Balsamo,GPE,attended school at,attend school at,university of illinois champaign,university of illinois champaign,Unknown,Balsamo attended graduate school at the University of Illinois at Urbana - Champaign where she earned her Ph.D. in Communications Research .
26564559,ninth doctor,http://www.wikidata.org/entity/Q2662867,Person,made,make,original story appearance in big finish audiogo 's destiny,original story appearance in big finish audiogo 's destiny,Unknown,"The Ninth Doctor made his first official , original audio story appearance in Big Finish / AudioGo 's "" Destiny of the Doctor : Night of the Whisper "" , released in September 2013 for 50th anniversary of "" Doctor Who "" ."
70631,alexander von humboldt,Alexander von Humboldt,PERSON,is,be,german ship named after scientist built in 1906 at bremen as reserve sonderburg,german ship named after scientist built in 1906 at bremen as reserve sonderburg,Unknown,""" Alexander von Humboldt "" is also a German ship named after the scientist , originally built in 1906 by the German shipyard AG Weser at Bremen as Reserve Sonderburg ."
26950284,hopkirk,Hopkirk,ORG,worked internationally as,work internationally as,veterinarian,veterinarian,Unknown,"Upon his resignation from the Centre in 1945 , Hopkirk worked internationally as a senior veterinarian in the United Nations Relief and Rehabilitation Administration ."
9402112,degree,http://www.wikidata.org/entity/Q189533,Award,first scientist in,first scientist in,world,world,Unknown,"In 1924 Mosharafa was awarded the degree of Doctor of Science , the first Egyptian and 11th scientist in the entire world to obtain such a degree ."
29688374,galileo,Galileo,LOC,also observed in,also observe in,1610,1610,Unknown,"In 1610 , Galileo also observed the planet Saturn , and at first mistook its rings for planets , thinking it was a three - bodied system ."
9442124,tigerstedt,Tigerstedt,GPE,continued,continue,to grapple,to grapple,Unknown,"Tigerstedt stubbornly continued to grapple with the problems of the early vacuum tubes , which were inefficient , expensive and prone to breaking ."
57426599,holland,Holland,GPE,appeared in,appear in,his adaptation,his adaptation,Unknown,Holland appeared in his first live adaptation in the 1982 film played by Ray Wise .
62421086,marsden,Marsden,PERSON,passed away unexpectedly in,pass away unexpectedly in,barbados,barbados,Unknown,Marsden passed away unexpectedly at the age of 78 in the Barbados .
29688374,galileo,Galileo,LOC,prepared manuscript in,prepare manuscript in,1615,1615,Unknown,"In 1615 , Galileo prepared a manuscript known as the "" Letter to the Grand Duchess Christina "" which was not published in printed form until 1636 ."
14573,clarke,Clarke,PERSON,was,be,best science fiction writer,best science fiction writer,Unknown,"This stated that Asimov was required to insist that Clarke was the best science fiction writer in the world ( reserving second - best for himself ) , while Clarke was required to insist that Asimov was the best science writer in the world ( reserving second - best for himself ) ."
3466910,booster gold,Booster Gold,PRODUCT,rescues,rescue,ted,ted,Unknown,"Booster Gold betrays Hunter and with the other Blue Beetles ' help , rescues Ted from death ."
4895522,kierkegaard,Kierkegaard,PERSON,served,serve,international journal,international journal,Unknown,"Kierkegaard served as chair of the Organizing Committee of the IAITL legal conference series and is editor - in - chief of the "" Journal of International Commercial Law and Technology "" , "" International Journal of Private Law "" , and the "" International Journal of Public Law and Policy "" ."
70631,humboldt,Humboldt,LOC,set,set,sail,sail,Unknown,"After six weeks , Humboldt set sail for Europe from the mouth of the Delaware and landed at Bordeaux on 3 August 1804 ."
1357093,doctor,http://www.wikidata.org/entity/Q96633923,Award,is time from,be time from,planet gallifrey,planet gallifrey,Unknown,"Within the series ' narrative , the Doctor is a centuries - old alien Time Lord from the planet Gallifrey who travels in time and space in the TARDIS , frequently with companions ."
2825163,snyder,Snyder,PERSON,often uses,often use,slow motion,slow motion,Unknown,"Snyder often uses slow motion , particularly the technique of speed ramping , in and out of the fight scenes in his films , differing from other directors who make multiple cuts and close - ups during a fight ."
48985391,anatoly savin,Anatoly Savin,PERSON,was,be,born,born,Unknown,"Anatoly Savin was born in Ostashkov , Russia in 1920 ."
39890006,shesteryuk,Shesteryuk,ORG,entered,enter,faculty,faculty,Unknown,Shesteryuk entered the Faculty of Law of Leningrad State University and graduated in 1975 .
2624320,nicolaus copernicus,Nicolaus Copernicus,PERSON,of,of,geometry,geometry,Unknown,Maestlin also added his own understanding of Nicolaus Copernicus ’ geometry to Kepler 's book .
39398227,posada,Posada,PERSON,been,be,has director of technical physics group at research laboratory in coffee chemistry of national federation,has director of technical physics group at research laboratory in coffee chemistry of national federation,Unknown,Posada has also been the Director of the Technical Physics Group ( 1975 - 1992 ) at the Research Laboratory in Coffee Chemistry of the National Federation of Coffee Growers of Colombia .
1165405,meyer,Meyer,PERSON,laid out,lay out,strategy for introducing design into public schools,strategy for introducing design into public schools,Unknown,"In 1999 , Meyer with David DeWolf and Mark DeForrest laid out a legal strategy for introducing intelligent design into public schools in their book "" Intelligent Design in Public School Science Curriculum "" ."
1528421,giganta,http://www.wikidata.org/entity/Q2318454,Person,appears in,appear in,her original costume,her original costume,Unknown,"Conversely , in Hal Jordan 's miniseries , Giganta appears in her traditional , original costume , and is capable of growing large enough to grasp and crush fighter jets in her hands ."
417610,wilkes,http://www.wikidata.org/entity/Q119329,Person,was,be,martialled upon his return for loss for regular mistreatment of his officers,martialled upon his return for loss for regular mistreatment of his officers,Unknown,"Wilkes was court - martialled upon his return for the loss of one of his ships on the Columbia River bar , for the regular mistreatment of his subordinate officers , and for excessive punishment of his sailors ."
53513610,johns hopkins university,Johns Hopkins University,ORG,laboratory of,laboratory of,molecular biology,molecular biology,Unknown,"In between , he served as a visiting faculty at several institutions abroad ; Johns Hopkins University , Pasteur Institute , Laboratory of Molecular Biology , Wayne State University , Centers for Disease Control and Prevention and Hyogo College of Medicine featuring among them ."
